genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
29796_bins.41.fa,2_1,0.010000000000000009,average,ANImf,2
29900_bins.102.fa,3_0,0.010000000000000009,average,ANImf,3
29961_bins.230.fa,4_0,0.010000000000000009,average,ANImf,4
14162_bins.101.fa,5_1,0.010000000000000009,average,ANImf,5
14190_bins.24.fa,5_1,0.010000000000000009,average,ANImf,5
14192_bins.227.fa,5_1,0.010000000000000009,average,ANImf,5
14263_bins.331.fa,5_1,0.010000000000000009,average,ANImf,5
14265_bins.150.fa,5_1,0.010000000000000009,average,ANImf,5
14284_bins.253.fa,5_1,0.010000000000000009,average,ANImf,5
29645_bins.196.fa,5_1,0.010000000000000009,average,ANImf,5
29652_bins.57.fa,5_1,0.010000000000000009,average,ANImf,5
29668_bins.135.fa,5_1,0.010000000000000009,average,ANImf,5
29694_bins.251.fa,5_1,0.010000000000000009,average,ANImf,5
29718_bins.68.fa,5_1,0.010000000000000009,average,ANImf,5
29743_bins.80.fa,5_1,0.010000000000000009,average,ANImf,5
29754_bins.83.fa,5_1,0.010000000000000009,average,ANImf,5
29796_bins.255.fa,5_1,0.010000000000000009,average,ANImf,5
29865_bins.194.fa,5_1,0.010000000000000009,average,ANImf,5
29951_bins.395.fa,5_1,0.010000000000000009,average,ANImf,5
14188_bins.375.fa,6_1,0.010000000000000009,average,ANImf,6
14190_bins.206.fa,6_1,0.010000000000000009,average,ANImf,6
14192_bins.225.fa,6_1,0.010000000000000009,average,ANImf,6
14193_bins.328.fa,6_1,0.010000000000000009,average,ANImf,6
14194_bins.16.fa,6_1,0.010000000000000009,average,ANImf,6
14208_bins.460.fa,6_1,0.010000000000000009,average,ANImf,6
14261_bins.130.fa,6_1,0.010000000000000009,average,ANImf,6
14263_bins.283.fa,6_1,0.010000000000000009,average,ANImf,6
14265_bins.360.fa,6_1,0.010000000000000009,average,ANImf,6
14276_bins.164.fa,6_1,0.010000000000000009,average,ANImf,6
14298_bins.208.fa,6_1,0.010000000000000009,average,ANImf,6
14306_bins.573.fa,6_1,0.010000000000000009,average,ANImf,6
14307_bins.102.fa,6_1,0.010000000000000009,average,ANImf,6
29646_bins.746.fa,6_1,0.010000000000000009,average,ANImf,6
29652_bins.432.fa,6_1,0.010000000000000009,average,ANImf,6
29667_bins.311.fa,6_1,0.010000000000000009,average,ANImf,6
29694_bins.145.fa,6_1,0.010000000000000009,average,ANImf,6
29718_bins.243.fa,6_1,0.010000000000000009,average,ANImf,6
29742_bins.340.fa,6_1,0.010000000000000009,average,ANImf,6
29743_bins.231.fa,6_1,0.010000000000000009,average,ANImf,6
29745_bins.101.fa,6_1,0.010000000000000009,average,ANImf,6
29752_bins.100.fa,6_1,0.010000000000000009,average,ANImf,6
29754_bins.215.fa,6_1,0.010000000000000009,average,ANImf,6
29796_bins.62.fa,6_1,0.010000000000000009,average,ANImf,6
29797_bins.217.fa,6_1,0.010000000000000009,average,ANImf,6
29865_bins.445.fa,6_1,0.010000000000000009,average,ANImf,6
29875_bins.144.fa,6_1,0.010000000000000009,average,ANImf,6
29901_bins.234.fa,6_1,0.010000000000000009,average,ANImf,6
29924_bins.6.fa,6_1,0.010000000000000009,average,ANImf,6
29934_bins.394.fa,6_1,0.010000000000000009,average,ANImf,6
29943_bins.46.fa,6_1,0.010000000000000009,average,ANImf,6
29951_bins.427.fa,6_1,0.010000000000000009,average,ANImf,6
29961_bins.261.fa,6_1,0.010000000000000009,average,ANImf,6
14265_bins.343.fa,7_1,0.010000000000000009,average,ANImf,7
29667_bins.217.fa,7_1,0.010000000000000009,average,ANImf,7
14159_bins.225.fa,8_1,0.010000000000000009,average,ANImf,8
29847_bins.454.fa,8_1,0.010000000000000009,average,ANImf,8
14188_bins.50.fa,9_1,0.010000000000000009,average,ANImf,9
14265_bins.221.fa,9_1,0.010000000000000009,average,ANImf,9
14265_bins.796.fa,10_0,0.010000000000000009,average,ANImf,10
14162_bins.189.fa,11_1,0.010000000000000009,average,ANImf,11
14265_bins.332.fa,11_1,0.010000000000000009,average,ANImf,11
29694_bins.608.fa,11_1,0.010000000000000009,average,ANImf,11
29961_bins.410.fa,11_2,0.010000000000000009,average,ANImf,11
14265_bins.348.fa,12_0,0.010000000000000009,average,ANImf,12
14233_bins.7.fa,13_1,0.010000000000000009,average,ANImf,13
29693_bins.50.fa,13_1,0.010000000000000009,average,ANImf,13
29898_bins.67.fa,13_1,0.010000000000000009,average,ANImf,13
29900_bins.280.fa,13_1,0.010000000000000009,average,ANImf,13
14305_bins.161.fa,14_1,0.010000000000000009,average,ANImf,14
29949_bins.323.fa,14_2,0.010000000000000009,average,ANImf,14
29951_bins.198.fa,15_0,0.010000000000000009,average,ANImf,15
14205_bins.368.fa,16_1,0.010000000000000009,average,ANImf,16
29753_bins.543.fa,16_1,0.010000000000000009,average,ANImf,16
29796_bins.309.fa,16_1,0.010000000000000009,average,ANImf,16
14184_bins.397.fa,17_1,0.010000000000000009,average,ANImf,17
14186_bins.294.fa,17_1,0.010000000000000009,average,ANImf,17
14188_bins.398.fa,17_1,0.010000000000000009,average,ANImf,17
14208_bins.293.fa,17_1,0.010000000000000009,average,ANImf,17
14209_bins.230.fa,17_1,0.010000000000000009,average,ANImf,17
14261_bins.329.fa,17_1,0.010000000000000009,average,ANImf,17
14265_bins.192.fa,17_1,0.010000000000000009,average,ANImf,17
14274_bins.63.fa,17_1,0.010000000000000009,average,ANImf,17
14317_bins.83.fa,17_1,0.010000000000000009,average,ANImf,17
29643_bins.570.fa,17_1,0.010000000000000009,average,ANImf,17
29644_bins.178.fa,17_1,0.010000000000000009,average,ANImf,17
29646_bins.44.fa,17_1,0.010000000000000009,average,ANImf,17
29666_bins.366.fa,17_1,0.010000000000000009,average,ANImf,17
29668_bins.165.fa,17_1,0.010000000000000009,average,ANImf,17
29679_bins.227.fa,17_1,0.010000000000000009,average,ANImf,17
29700_bins.425.fa,17_1,0.010000000000000009,average,ANImf,17
29702_bins.124.fa,17_1,0.010000000000000009,average,ANImf,17
29703_bins.283.fa,17_1,0.010000000000000009,average,ANImf,17
29705_bins.500.fa,17_1,0.010000000000000009,average,ANImf,17
29715_bins.469.fa,17_1,0.010000000000000009,average,ANImf,17
29752_bins.72.fa,17_1,0.010000000000000009,average,ANImf,17
29781_bins.128.fa,17_1,0.010000000000000009,average,ANImf,17
29796_bins.393.fa,17_1,0.010000000000000009,average,ANImf,17
29864_bins.394.fa,17_1,0.010000000000000009,average,ANImf,17
29948_bins.56.fa,17_1,0.010000000000000009,average,ANImf,17
29949_bins.223.fa,17_1,0.010000000000000009,average,ANImf,17
29961_bins.330.fa,17_1,0.010000000000000009,average,ANImf,17
14260_bins.88.fa,17_2,0.010000000000000009,average,ANImf,17
29652_bins.117.fa,17_2,0.010000000000000009,average,ANImf,17
29753_bins.294.fa,17_2,0.010000000000000009,average,ANImf,17
29924_bins.519.fa,17_2,0.010000000000000009,average,ANImf,17
14183_bins.293.fa,17_3,0.010000000000000009,average,ANImf,17
14183_bins.328.fa,18_1,0.010000000000000009,average,ANImf,18
14186_bins.426.fa,18_1,0.010000000000000009,average,ANImf,18
14188_bins.179.fa,18_1,0.010000000000000009,average,ANImf,18
14262_bins.410.fa,18_1,0.010000000000000009,average,ANImf,18
14273_bins.216.fa,18_1,0.010000000000000009,average,ANImf,18
14274_bins.90.fa,18_1,0.010000000000000009,average,ANImf,18
14276_bins.54.fa,18_1,0.010000000000000009,average,ANImf,18
14284_bins.317.fa,18_1,0.010000000000000009,average,ANImf,18
14288_bins.114.fa,18_1,0.010000000000000009,average,ANImf,18
14308_bins.144.fa,18_1,0.010000000000000009,average,ANImf,18
29652_bins.154.fa,18_1,0.010000000000000009,average,ANImf,18
29654_bins.175.fa,18_1,0.010000000000000009,average,ANImf,18
29704_bins.23.fa,18_1,0.010000000000000009,average,ANImf,18
29753_bins.31.fa,18_1,0.010000000000000009,average,ANImf,18
29796_bins.155.fa,18_1,0.010000000000000009,average,ANImf,18
29864_bins.125.fa,18_1,0.010000000000000009,average,ANImf,18
29913_bins.265.fa,18_1,0.010000000000000009,average,ANImf,18
29949_bins.6.fa,18_1,0.010000000000000009,average,ANImf,18
29961_bins.201.fa,18_1,0.010000000000000009,average,ANImf,18
14186_bins.219.fa,19_1,0.010000000000000009,average,ANImf,19
14187_bins.470.fa,19_1,0.010000000000000009,average,ANImf,19
14190_bins.123.fa,19_1,0.010000000000000009,average,ANImf,19
14194_bins.263.fa,19_1,0.010000000000000009,average,ANImf,19
14261_bins.168.fa,19_1,0.010000000000000009,average,ANImf,19
14262_bins.385.fa,19_1,0.010000000000000009,average,ANImf,19
14263_bins.413.fa,19_1,0.010000000000000009,average,ANImf,19
14265_bins.743.fa,19_1,0.010000000000000009,average,ANImf,19
14275_bins.200.fa,19_1,0.010000000000000009,average,ANImf,19
14276_bins.312.fa,19_1,0.010000000000000009,average,ANImf,19
14284_bins.250.fa,19_1,0.010000000000000009,average,ANImf,19
14288_bins.452.fa,19_1,0.010000000000000009,average,ANImf,19
14308_bins.179.fa,19_1,0.010000000000000009,average,ANImf,19
14317_bins.479.fa,19_1,0.010000000000000009,average,ANImf,19
14320_bins.185.fa,19_1,0.010000000000000009,average,ANImf,19
29652_bins.346.fa,19_1,0.010000000000000009,average,ANImf,19
29654_bins.472.fa,19_1,0.010000000000000009,average,ANImf,19
29666_bins.403.fa,19_1,0.010000000000000009,average,ANImf,19
29700_bins.317.fa,19_1,0.010000000000000009,average,ANImf,19
29702_bins.370.fa,19_1,0.010000000000000009,average,ANImf,19
29704_bins.78.fa,19_1,0.010000000000000009,average,ANImf,19
29715_bins.490.fa,19_1,0.010000000000000009,average,ANImf,19
29742_bins.74.fa,19_1,0.010000000000000009,average,ANImf,19
29752_bins.457.fa,19_1,0.010000000000000009,average,ANImf,19
29753_bins.89.fa,19_1,0.010000000000000009,average,ANImf,19
29777_bins.45.fa,19_1,0.010000000000000009,average,ANImf,19
29781_bins.193.fa,19_1,0.010000000000000009,average,ANImf,19
29796_bins.48.fa,19_1,0.010000000000000009,average,ANImf,19
29863_bins.214.fa,19_1,0.010000000000000009,average,ANImf,19
29864_bins.247.fa,19_1,0.010000000000000009,average,ANImf,19
29875_bins.101.fa,19_1,0.010000000000000009,average,ANImf,19
29900_bins.17.fa,19_1,0.010000000000000009,average,ANImf,19
29943_bins.72.fa,19_1,0.010000000000000009,average,ANImf,19
29948_bins.90.fa,19_1,0.010000000000000009,average,ANImf,19
29949_bins.95.fa,19_1,0.010000000000000009,average,ANImf,19
29962_bins.346.fa,19_1,0.010000000000000009,average,ANImf,19
NegativeControl_bins.317.fa,19_1,0.010000000000000009,average,ANImf,19
14265_bins.286.fa,20_1,0.010000000000000009,average,ANImf,20
29934_bins.475.fa,20_1,0.010000000000000009,average,ANImf,20
14184_bins.18.fa,21_1,0.010000000000000009,average,ANImf,21
14195_bins.26.fa,21_2,0.010000000000000009,average,ANImf,21
29643_bins.548.fa,21_3,0.010000000000000009,average,ANImf,21
29715_bins.423.fa,21_4,0.010000000000000009,average,ANImf,21
14186_bins.14.fa,21_5,0.010000000000000009,average,ANImf,21
14208_bins.422.fa,21_6,0.010000000000000009,average,ANImf,21
29943_bins.282.fa,21_7,0.010000000000000009,average,ANImf,21
29666_bins.322.fa,21_8,0.010000000000000009,average,ANImf,21
14265_bins.485.fa,21_9,0.010000000000000009,average,ANImf,21
14265_bins.491.fa,22_1,0.010000000000000009,average,ANImf,22
14286_bins.226.fa,22_1,0.010000000000000009,average,ANImf,22
29679_bins.194.fa,22_1,0.010000000000000009,average,ANImf,22
29694_bins.580.fa,22_1,0.010000000000000009,average,ANImf,22
29742_bins.527.fa,22_1,0.010000000000000009,average,ANImf,22
29745_bins.295.fa,22_1,0.010000000000000009,average,ANImf,22
29668_bins.382.fa,22_2,0.010000000000000009,average,ANImf,22
14261_bins.167.fa,23_1,0.010000000000000009,average,ANImf,23
29704_bins.411.fa,23_1,0.010000000000000009,average,ANImf,23
29667_bins.72.fa,23_2,0.010000000000000009,average,ANImf,23
29753_bins.11.fa,23_2,0.010000000000000009,average,ANImf,23
14183_bins.405.fa,23_3,0.010000000000000009,average,ANImf,23
14188_bins.169.fa,23_3,0.010000000000000009,average,ANImf,23
14195_bins.5.fa,23_3,0.010000000000000009,average,ANImf,23
14274_bins.400.fa,23_3,0.010000000000000009,average,ANImf,23
14275_bins.333.fa,23_3,0.010000000000000009,average,ANImf,23
14284_bins.10.fa,23_3,0.010000000000000009,average,ANImf,23
14288_bins.189.fa,23_3,0.010000000000000009,average,ANImf,23
29679_bins.136.fa,23_3,0.010000000000000009,average,ANImf,23
29796_bins.462.fa,23_3,0.010000000000000009,average,ANImf,23
29864_bins.323.fa,23_3,0.010000000000000009,average,ANImf,23
29865_bins.59.fa,23_3,0.010000000000000009,average,ANImf,23
29875_bins.254.fa,23_3,0.010000000000000009,average,ANImf,23
29913_bins.313.fa,23_3,0.010000000000000009,average,ANImf,23
29924_bins.317.fa,23_3,0.010000000000000009,average,ANImf,23
314531_bins.40.fa,23_3,0.010000000000000009,average,ANImf,23
316703_bins.26.fa,23_3,0.010000000000000009,average,ANImf,23
319427_bins.61.fa,23_3,0.010000000000000009,average,ANImf,23
29934_bins.544.fa,23_4,0.010000000000000009,average,ANImf,23
29804_bins.122.fa,24_1,0.010000000000000009,average,ANImf,24
R03999_bins.48.fa,24_2,0.010000000000000009,average,ANImf,24
B11439_bins.21.fa,24_3,0.010000000000000009,average,ANImf,24
29781_bins.228.fa,24_4,0.010000000000000009,average,ANImf,24
315132_bins.16.fa,24_5,0.010000000000000009,average,ANImf,24
29865_bins.546.fa,25_1,0.010000000000000009,average,ANImf,25
315132_bins.27.fa,25_1,0.010000000000000009,average,ANImf,25
14184_bins.335.fa,25_2,0.010000000000000009,average,ANImf,25
14195_bins.36.fa,25_2,0.010000000000000009,average,ANImf,25
14306_bins.117.fa,25_2,0.010000000000000009,average,ANImf,25
29654_bins.72.fa,25_2,0.010000000000000009,average,ANImf,25
29666_bins.44.fa,25_2,0.010000000000000009,average,ANImf,25
29667_bins.35.fa,25_2,0.010000000000000009,average,ANImf,25
29668_bins.463.fa,25_2,0.010000000000000009,average,ANImf,25
29694_bins.344.fa,25_2,0.010000000000000009,average,ANImf,25
NegativeControl_bins.111.fa,25_2,0.010000000000000009,average,ANImf,25
14174_bins.153.fa,25_3,0.010000000000000009,average,ANImf,25
14187_bins.331.fa,25_3,0.010000000000000009,average,ANImf,25
14190_bins.211.fa,25_3,0.010000000000000009,average,ANImf,25
14193_bins.60.fa,25_3,0.010000000000000009,average,ANImf,25
14260_bins.113.fa,25_3,0.010000000000000009,average,ANImf,25
14265_bins.704.fa,25_3,0.010000000000000009,average,ANImf,25
14307_bins.425.fa,25_3,0.010000000000000009,average,ANImf,25
29691_bins.151.fa,25_3,0.010000000000000009,average,ANImf,25
29742_bins.401.fa,25_3,0.010000000000000009,average,ANImf,25
29948_bins.324.fa,25_3,0.010000000000000009,average,ANImf,25
29951_bins.127.fa,25_3,0.010000000000000009,average,ANImf,25
29961_bins.538.fa,25_3,0.010000000000000009,average,ANImf,25
315649_bins.20.fa,25_3,0.010000000000000009,average,ANImf,25
316981_bins.82.fa,25_3,0.010000000000000009,average,ANImf,25
32771_bins.55.fa,25_3,0.010000000000000009,average,ANImf,25
60690_bins.43.fa,25_3,0.010000000000000009,average,ANImf,25
9128_bins.52.fa,25_3,0.010000000000000009,average,ANImf,25
B11802_bins.52.fa,25_3,0.010000000000000009,average,ANImf,25
Y09733_bins.16.fa,25_3,0.010000000000000009,average,ANImf,25
14159_bins.36.fa,25_4,0.010000000000000009,average,ANImf,25
14188_bins.246.fa,25_4,0.010000000000000009,average,ANImf,25
14204_bins.134.fa,25_4,0.010000000000000009,average,ANImf,25
14261_bins.73.fa,25_4,0.010000000000000009,average,ANImf,25
14263_bins.146.fa,25_4,0.010000000000000009,average,ANImf,25
14295_bins.3.fa,25_4,0.010000000000000009,average,ANImf,25
210080_bins.21.fa,25_4,0.010000000000000009,average,ANImf,25
29646_bins.179.fa,25_4,0.010000000000000009,average,ANImf,25
29704_bins.76.fa,25_4,0.010000000000000009,average,ANImf,25
29752_bins.75.fa,25_4,0.010000000000000009,average,ANImf,25
29753_bins.382.fa,25_4,0.010000000000000009,average,ANImf,25
29796_bins.425.fa,25_4,0.010000000000000009,average,ANImf,25
29846_bins.396.fa,25_4,0.010000000000000009,average,ANImf,25
29875_bins.562.fa,25_4,0.010000000000000009,average,ANImf,25
29924_bins.332.fa,25_4,0.010000000000000009,average,ANImf,25
706402_bins.39.fa,25_4,0.010000000000000009,average,ANImf,25
T11600_bins.64.fa,25_4,0.010000000000000009,average,ANImf,25
Y08266_bins.47.fa,25_4,0.010000000000000009,average,ANImf,25
14186_bins.269.fa,25_5,0.010000000000000009,average,ANImf,25
21272_bins.5.fa,25_5,0.010000000000000009,average,ANImf,25
29707_bins.426.fa,25_5,0.010000000000000009,average,ANImf,25
29745_bins.127.fa,25_5,0.010000000000000009,average,ANImf,25
29765_bins.130.fa,25_5,0.010000000000000009,average,ANImf,25
29847_bins.298.fa,25_5,0.010000000000000009,average,ANImf,25
29934_bins.340.fa,25_5,0.010000000000000009,average,ANImf,25
29945_bins.74.fa,25_6,0.010000000000000009,average,ANImf,25
40519_bins.31.fa,25_6,0.010000000000000009,average,ANImf,25
R03999_bins.21.fa,25_6,0.010000000000000009,average,ANImf,25
29793_bins.117.fa,25_7,0.010000000000000009,average,ANImf,25
14182_bins.31.fa,25_8,0.010000000000000009,average,ANImf,25
29781_bins.329.fa,25_9,0.010000000000000009,average,ANImf,25
14187_bins.167.fa,26_1,0.010000000000000009,average,ANImf,26
29913_bins.104.fa,26_2,0.010000000000000009,average,ANImf,26
14274_bins.123.fa,26_3,0.010000000000000009,average,ANImf,26
14288_bins.463.fa,26_3,0.010000000000000009,average,ANImf,26
29700_bins.139.fa,26_3,0.010000000000000009,average,ANImf,26
29796_bins.44.fa,26_3,0.010000000000000009,average,ANImf,26
29668_bins.223.fa,26_4,0.010000000000000009,average,ANImf,26
14284_bins.158.fa,26_5,0.010000000000000009,average,ANImf,26
29667_bins.3.fa,26_5,0.010000000000000009,average,ANImf,26
29781_bins.397.fa,26_5,0.010000000000000009,average,ANImf,26
29914_bins.197.fa,26_5,0.010000000000000009,average,ANImf,26
14295_bins.42.fa,26_6,0.010000000000000009,average,ANImf,26
29875_bins.6.fa,26_7,0.010000000000000009,average,ANImf,26
29864_bins.423.fa,26_8,0.010000000000000009,average,ANImf,26
29643_bins.508.fa,26_9,0.010000000000000009,average,ANImf,26
29865_bins.458.fa,26_10,0.010000000000000009,average,ANImf,26
14195_bins.437.fa,26_11,0.010000000000000009,average,ANImf,26
29707_bins.317.fa,26_12,0.010000000000000009,average,ANImf,26
14186_bins.141.fa,26_13,0.010000000000000009,average,ANImf,26
29793_bins.360.fa,26_14,0.010000000000000009,average,ANImf,26
14195_bins.225.fa,27_0,0.010000000000000009,average,ANImf,27
315875_bins.4.fa,28_0,0.010000000000000009,average,ANImf,28
14288_bins.259.fa,29_1,0.010000000000000009,average,ANImf,29
29668_bins.282.fa,29_1,0.010000000000000009,average,ANImf,29
14265_bins.139.fa,30_0,0.010000000000000009,average,ANImf,30
29865_bins.252.fa,31_1,0.010000000000000009,average,ANImf,31
29934_bins.206.fa,31_1,0.010000000000000009,average,ANImf,31
29653_bins.174.fa,31_2,0.010000000000000009,average,ANImf,31
14172_bins.272.fa,31_3,0.010000000000000009,average,ANImf,31
29707_bins.111.fa,31_4,0.010000000000000009,average,ANImf,31
29742_bins.156.fa,31_5,0.010000000000000009,average,ANImf,31
14305_bins.423.fa,31_6,0.010000000000000009,average,ANImf,31
29745_bins.128.fa,31_7,0.010000000000000009,average,ANImf,31
29694_bins.159.fa,31_8,0.010000000000000009,average,ANImf,31
29753_bins.391.fa,31_9,0.010000000000000009,average,ANImf,31
14233_bins.135.fa,31_10,0.010000000000000009,average,ANImf,31
14262_bins.86.fa,31_10,0.010000000000000009,average,ANImf,31
29718_bins.250.fa,31_11,0.010000000000000009,average,ANImf,31
315649_bins.8.fa,31_12,0.010000000000000009,average,ANImf,31
40516_bins.17.fa,31_12,0.010000000000000009,average,ANImf,31
R03999_bins.67.fa,31_13,0.010000000000000009,average,ANImf,31
315376_bins.1.fa,31_14,0.010000000000000009,average,ANImf,31
212211_bins.23.fa,31_15,0.010000000000000009,average,ANImf,31
29900_bins.115.fa,31_16,0.010000000000000009,average,ANImf,31
910916_bins.38.fa,31_17,0.010000000000000009,average,ANImf,31
29691_bins.99.fa,31_18,0.010000000000000009,average,ANImf,31
29703_bins.365.fa,31_19,0.010000000000000009,average,ANImf,31
14298_bins.28.fa,31_20,0.010000000000000009,average,ANImf,31
29633_bins.95.fa,31_21,0.010000000000000009,average,ANImf,31
14163_bins.309.fa,31_22,0.010000000000000009,average,ANImf,31
14306_bins.435.fa,31_23,0.010000000000000009,average,ANImf,31
14193_bins.306.fa,31_24,0.010000000000000009,average,ANImf,31
14184_bins.26.fa,31_25,0.010000000000000009,average,ANImf,31
29644_bins.155.fa,31_25,0.010000000000000009,average,ANImf,31
29949_bins.131.fa,31_25,0.010000000000000009,average,ANImf,31
14188_bins.176.fa,31_26,0.010000000000000009,average,ANImf,31
14195_bins.212.fa,31_27,0.010000000000000009,average,ANImf,31
29666_bins.268.fa,31_28,0.010000000000000009,average,ANImf,31
29913_bins.210.fa,31_29,0.010000000000000009,average,ANImf,31
