*sample_name,biosample number,sample_title,bioproject_accession,*organism,host,isolation_source,*collection_date,*geo_loc_name,*lat_lon,altitude,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,description,*env_biome,*env_feature,*env_material,Room number and pen (i.e. crate) ID ,Cohort,Antibiotic regimen,Probiotic regimen,Dysentery,DNA extraction plate ID,DNA extraction well ID,Sample_storage_temperature,host_body_habitat,host_diet,host_last_meal,host_life_stage,host_sex,TATTOO,Crate before start of the trial,NURSING_DAM,BIRTH_DAY,LINE,CROSS_BREED,STIGSIRE (male parent),STIGDAM (female parent),host_weight,,,,,,,,,,,,,,
Ja31/14161,SAMN11097679Ê,,PRJNA526405,Pig gut metagenome,Pig,14161,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,F4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14161,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,5.7,,,,,,,,,,,,,,
Ja31/29705,SAMN11097680Ê,,PRJNA526405,Pig gut metagenome,Pig,29705,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1B,Control,not applicable,not applicable,0,plate_8,D7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29705,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,9.4,,,,,,,,,,,,,,
Ja31/29654,SAMN11097681Ê,,PRJNA526405,Pig gut metagenome,Pig,29654,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_7,E3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29654,A25,316703,1/8/2017 0:00:00,326,Duroc x Large white,BR04050,316703,5.4,,,,,,,,,,,,,,
Ja31/29898,SAMN11097682Ê,,PRJNA526405,Pig gut metagenome,Pig,29898,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_8,H11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29898,B55,315649,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315649,7.4,,,,,,,,,,,,,,
Ja31/29631,SAMN11097683Ê,,PRJNA526405,Pig gut metagenome,Pig,29631,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_5,F9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29631,A29,60581,1/7/2017 0:00:00,326,Duroc x Large white,BR06957,B11802,5.7,,,,,,,,,,,,,,
Ja31/14277,SAMN11097684Ê,,PRJNA526405,Pig gut metagenome,Pig,14277,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_8,D1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14277,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,not available,,,,,,,,,,,,,,
Ja31/14184,SAMN11097685Ê,,PRJNA526405,Pig gut metagenome,Pig,14184,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_5,C10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14184,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,6.7,,,,,,,,,,,,,,
Ja31/14204,SAMN11097686Ê,,PRJNA526405,Pig gut metagenome,Pig,14204,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1C,Control,not applicable,not applicable,0,plate_8,D8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14204,B4,Y08266,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,Y08266,not available,,,,,,,,,,,,,,
Ja31/14182,SAMN11097687Ê,,PRJNA526405,Pig gut metagenome,Pig,14182,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_7,H4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14182,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,not available,,,,,,,,,,,,,,
Ja31/29666,SAMN11097688Ê,,PRJNA526405,Pig gut metagenome,Pig,29666,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_7,H12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29666,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,7.5,,,,,,,,,,,,,,
Ja31/29948,SAMN11097689Ê,,PRJNA526405,Pig gut metagenome,Pig,29948,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_7,H10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29948,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,5.6,,,,,,,,,,,,,,
Ja31/29945,SAMN11097690Ê,,PRJNA526405,Pig gut metagenome,Pig,29945,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_8,C2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29945,B22,32810,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,not available,,,,,,,,,,,,,,
Ja31/14271,SAMN11097691Ê,,PRJNA526405,Pig gut metagenome,Pig,14271,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_5,E7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14271,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,not available,,,,,,,,,,,,,,
Ja31/29867,SAMN11097692Ê,,PRJNA526405,Pig gut metagenome,Pig,29867,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1D,Control,not applicable,not applicable,0,plate_8,D5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29867,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,not available,,,,,,,,,,,,,,
Ja31/14200,SAMN11097693Ê,,PRJNA526405,Pig gut metagenome,Pig,14200,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_7,G5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14200,B48,319427,1/9/2017 0:00:00,316,Duroc x Landrace,BR05942,Y08912,not available,,,,,,,,,,,,,,
Ja31/29706,SAMN11097694Ê,,PRJNA526405,Pig gut metagenome,Pig,29706,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_8,A2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29706,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,not available,,,,,,,,,,,,,,
Ja31/29876,SAMN11097695Ê,,PRJNA526405,Pig gut metagenome,Pig,29876,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_8,F10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29876,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,32650,not available,,,,,,,,,,,,,,
Ja31/14169,SAMN11097696Ê,,PRJNA526405,Pig gut metagenome,Pig,14169,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_7,F6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14169,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,not available,,,,,,,,,,,,,,
Ja31/14315,SAMN11097697Ê,,PRJNA526405,Pig gut metagenome,Pig,14315,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_7,E11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14315,B21,21508,1/11/2017 0:00:00,316,Duroc x Landrace,BR06957,21560,not available,,,,,,,,,,,,,,
Ja31/29764,SAMN11097698Ê,,PRJNA526405,Pig gut metagenome,Pig,29764,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,1E,Control,not applicable,not applicable,0,plate_7,B10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29764,B15,317019,1/10/2017 0:00:00,326,Duroc x Large white,BR05942,317019,not available,,,,,,,,,,,,,,
Ja31/29765,SAMN11097699Ê,,PRJNA526405,Pig gut metagenome,Pig,29765,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,C12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29765,B15,317019,1/10/2017 0:00:00,326,Duroc x Large white,BR05942,317019,5,,,,,,,,,,,,,,
Ja31/14159,SAMN11097700Ê,,PRJNA526405,Pig gut metagenome,Pig,14159,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_5,A5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14159,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,6.2,,,,,,,,,,,,,,
Ja31/14205,SAMN11097701Ê,,PRJNA526405,Pig gut metagenome,Pig,14205,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_5,G9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14205,B4,Y08266,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,Y08266,8.9,,,,,,,,,,,,,,
Ja31/29752,SAMN11097702Ê,,PRJNA526405,Pig gut metagenome,Pig,29752,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,G9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29752,B44,B11439,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,B11439,5.8,,,,,,,,,,,,,,
Ja31/29875,SAMN11097703Ê,,PRJNA526405,Pig gut metagenome,Pig,29875,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2A,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,H5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29875,A37,319096,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,32650,6.5,,,,,,,,,,,,,,
Ja31/29644,SAMN11097704Ê,,PRJNA526405,Pig gut metagenome,Pig,29644,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,F3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29644,A29,60581,1/7/2017 0:00:00,326,Large white x Duroc,BB17642,R03999,6.3,,,,,,,,,,,,,,
Ja31/29914,SAMN11097705Ê,,PRJNA526405,Pig gut metagenome,Pig,29914,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,F7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29914,B50,315875,1/11/2017 0:00:00,326,Duroc x Large white,BR05918,315875,6.9,,,,,,,,,,,,,,
Ja31/14276,SAMN11097706Ê,,PRJNA526405,Pig gut metagenome,Pig,14276,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,D4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14276,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,6.7,,,,,,,,,,,,,,
Ja31/14172,SAMN11097707Ê,,PRJNA526405,Pig gut metagenome,Pig,14172,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,B12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14172,A23,T12057,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T12057,7.3,,,,,,,,,,,,,,
Ja31/14233,SAMN11097708Ê,,PRJNA526405,Pig gut metagenome,Pig,14233,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,F6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14233,A35,40516,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,21528,5.6,,,,,,,,,,,,,,
Ja31/29792,SAMN11097709Ê,,PRJNA526405,Pig gut metagenome,Pig,29792,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2B,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,C8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29792,B10,32719,1/10/2017 0:00:00,326,Duroc x Large white,BR07264,B12474,4.8,,,,,,,,,,,,,,
Ja31/29864,SAMN11097710Ê,,PRJNA526405,Pig gut metagenome,Pig,29864,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2C,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,A12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29864,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,5.9,,,,,,,,,,,,,,
Ja31/29778,SAMN11097711Ê,,PRJNA526405,Pig gut metagenome,Pig,29778,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2C,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,H8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29778,B10,32719,1/10/2017 0:00:00,326,Duroc x Large white,BR05918,32719,5.7,,,,,,,,,,,,,,
Ja31/14317,SAMN11097712Ê,,PRJNA526405,Pig gut metagenome,Pig,14317,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2C,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_7,C5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14317,B31,21560,1/11/2017 0:00:00,316,Duroc x Landrace,BR06957,21560,5.7,,,,,,,,,,,,,,
Ja31/29742,SAMN11097713Ê,,PRJNA526405,Pig gut metagenome,Pig,29742,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2C,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,H1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29742,B33,40486,1/9/2017 0:00:00,326,Large white x Duroc,BB18188,40486,4.6,,,,,,,,,,,,,,
Ja31/14273,SAMN11097714Ê,,PRJNA526405,Pig gut metagenome,Pig,14273,31/01/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 1 day(s) before the start of treatment ",Host- gut,Faecal ,Faecal ,2C,D-scour,not applicable,1g/day D-Scour oral paste for 14 days; start on: 01/02/2017,0,plate_8,E9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14273,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,5,,,,,,,,,,,,,,
